"Area","Item","Unit","Year","Flag","Stocks"
"United States of America","Sheep","Head","2010",NA,5620000
"United States of America","Sheep","Head","2011",NA,5480000
"United States of America","Sheep","Head","2012",NA,5375000
"United States of America","Sheep","Head","2013",NA,5360000
"United States of America","Sheep","Head","2014",NA,5245000
"United States of America","Sheep","Head","2015",NA,5280000
"United States of America","Sheep","Head","2016",NA,5295000
"United States of America","Sheep","Head","2017",NA,5270000
"United States of America","Sheep","Head","2018",NA,5265000
"United States of America","Turkeys","1000 Head","1961",NA,107496
"United States of America","Turkeys","1000 Head","1962",NA,91837
"United States of America","Turkeys","1000 Head","1963",NA,93849
"United States of America","Turkeys","1000 Head","1964",NA,100892
"United States of America","Turkeys","1000 Head","1965",NA,105703
"United States of America","Turkeys","1000 Head","1966",NA,116285
"United States of America","Turkeys","1000 Head","1967",NA,126314
"United States of America","Turkeys","1000 Head","1968",NA,106512
"United States of America","Turkeys","1000 Head","1969",NA,106529
"United States of America","Turkeys","1000 Head","1970",NA,116139
"United States of America","Turkeys","1000 Head","1971",NA,119657
"United States of America","Turkeys","1000 Head","1972",NA,128664
"United States of America","Turkeys","1000 Head","1973",NA,132231
