"Area","Item","Element","Unit","Year","Year_Value","Flag"
"United States of America","Ducks","Stocks","1000 Head","1986",6600,"F"
"United States of America","Ducks","Stocks","1000 Head","1987",6700,"F"
"United States of America","Ducks","Stocks","1000 Head","1988",6900,"F"
"United States of America","Ducks","Stocks","1000 Head","1989",6400,"F"
"United States of America","Ducks","Stocks","1000 Head","1990",6300,"F"
"United States of America","Ducks","Stocks","1000 Head","1991",6000,"F"
"United States of America","Ducks","Stocks","1000 Head","1992",5600,"F"
"United States of America","Ducks","Stocks","1000 Head","1993",6100,"F"
"United States of America","Ducks","Stocks","1000 Head","1994",6150,"F"
"United States of America","Ducks","Stocks","1000 Head","1995",5800,"F"
"United States of America","Ducks","Stocks","1000 Head","1996",6500,"F"
"United States of America","Ducks","Stocks","1000 Head","1997",7200,"F"
"United States of America","Ducks","Stocks","1000 Head","1998",6600,"F"
"United States of America","Ducks","Stocks","1000 Head","1999",6600,"F"
"United States of America","Ducks","Stocks","1000 Head","2000",6600,"F"
"United States of America","Ducks","Stocks","1000 Head","2001",7900,"F"
"United States of America","Ducks","Stocks","1000 Head","2002",6650,"F"
"United States of America","Ducks","Stocks","1000 Head","2003",6700,"F"
"United States of America","Ducks","Stocks","1000 Head","2004",6900,"F"
"United States of America","Ducks","Stocks","1000 Head","2005",6900,"F"
"United States of America","Ducks","Stocks","1000 Head","2006",6900,"F"
"United States of America","Ducks","Stocks","1000 Head","2007",6900,"F"
"United States of America","Ducks","Stocks","1000 Head","2008",6900,"F"
"United States of America","Ducks","Stocks","1000 Head","2009",6800,"F"
"United States of America","Ducks","Stocks","1000 Head","2010",6900,"F"
"United States of America","Ducks","Stocks","1000 Head","2011",7000,"F"
"United States of America","Ducks","Stocks","1000 Head","2012",7200,"F"
"United States of America","Ducks","Stocks","1000 Head","2013",7300,"F"
"United States of America","Ducks","Stocks","1000 Head","2014",7800,"F"
"United States of America","Ducks","Stocks","1000 Head","2015",7577,"Im"
"United States of America","Ducks","Stocks","1000 Head","2016",7373,"Im"
"United States of America","Ducks","Stocks","1000 Head","2017",7319,"Im"
"United States of America","Ducks","Stocks","1000 Head","2018",7373,"Im"
"United States of America","Goats","Stocks","Head","1961",3473000,NA
"United States of America","Goats","Stocks","Head","1962",3647000,NA
"United States of America","Goats","Stocks","Head","1963",3683000,NA
"United States of America","Goats","Stocks","Head","1964",3904000,NA
"United States of America","Goats","Stocks","Head","1965",4060000,NA
"United States of America","Goats","Stocks","Head","1966",4222000,NA
"United States of America","Goats","Stocks","Head","1967",3969000,NA
"United States of America","Goats","Stocks","Head","1968",3572000,NA
"United States of America","Goats","Stocks","Head","1969",3215000,NA
"United States of America","Goats","Stocks","Head","1970",2572000,NA
"United States of America","Goats","Stocks","Head","1971",2133000,NA
"United States of America","Goats","Stocks","Head","1972",1650000,NA
"United States of America","Goats","Stocks","Head","1973",1775000,NA
"United States of America","Goats","Stocks","Head","1974",1560000,NA
"United States of America","Goats","Stocks","Head","1975",1350000,NA
"United States of America","Goats","Stocks","Head","1976",1270000,NA
"United States of America","Goats","Stocks","Head","1977",1400000,NA
"United States of America","Goats","Stocks","Head","1978",1355000,NA
"United States of America","Goats","Stocks","Head","1979",1360000,NA
"United States of America","Goats","Stocks","Head","1980",1400000,NA
"United States of America","Goats","Stocks","Head","1981",1380000,NA
"United States of America","Goats","Stocks","Head","1982",1410000,NA
"United States of America","Goats","Stocks","Head","1983",1420000,NA
"United States of America","Goats","Stocks","Head","1984",1420000,NA
"United States of America","Goats","Stocks","Head","1985",1550000,NA
"United States of America","Goats","Stocks","Head","1986",1770000,NA
"United States of America","Goats","Stocks","Head","1987",1780000,NA
"United States of America","Goats","Stocks","Head","1988",1800000,NA
"United States of America","Goats","Stocks","Head","1989",1850000,NA
"United States of America","Goats","Stocks","Head","1990",1900000,NA
"United States of America","Goats","Stocks","Head","1991",1830000,NA
"United States of America","Goats","Stocks","Head","1992",2e+06,NA
"United States of America","Goats","Stocks","Head","1993",1960000,NA
"United States of America","Goats","Stocks","Head","1994",1960000,NA
"United States of America","Goats","Stocks","Head","1995",1850000,NA
"United States of America","Goats","Stocks","Head","1996",1900000,NA
"United States of America","Goats","Stocks","Head","1997",1650000,NA
"United States of America","Goats","Stocks","Head","1998",1400000,NA
"United States of America","Goats","Stocks","Head","1999",2250000,"F"
"United States of America","Goats","Stocks","Head","2000",2300000,"F"
"United States of America","Goats","Stocks","Head","2001",2400000,"F"
"United States of America","Goats","Stocks","Head","2002",2530466,NA
"United States of America","Goats","Stocks","Head","2003",2530000,"F"
"United States of America","Goats","Stocks","Head","2004",2525000,"F"
"United States of America","Goats","Stocks","Head","2005",2715000,NA
"United States of America","Goats","Stocks","Head","2006",2837000,NA
"United States of America","Goats","Stocks","Head","2007",3048000,NA
"United States of America","Goats","Stocks","Head","2008",3118000,NA
"United States of America","Goats","Stocks","Head","2009",3069000,NA
"United States of America","Goats","Stocks","Head","2010",3038000,NA
"United States of America","Goats","Stocks","Head","2011",2996000,NA
"United States of America","Goats","Stocks","Head","2012",2703000,NA
"United States of America","Goats","Stocks","Head","2013",2632000,NA
"United States of America","Goats","Stocks","Head","2014",2611000,NA
"United States of America","Goats","Stocks","Head","2015",2650000,NA
"United States of America","Goats","Stocks","Head","2016",2615000,NA
"United States of America","Goats","Stocks","Head","2017",2627000,NA
"United States of America","Goats","Stocks","Head","2018",2639000,NA
"United States of America","Horses","Stocks","Head","1961",2367000,"F"
"United States of America","Horses","Stocks","Head","1962",2130000,"F"
"United States of America","Horses","Stocks","Head","1963",1819000,"F"
"United States of America","Horses","Stocks","Head","1964",1502000,"F"
"United States of America","Horses","Stocks","Head","1965",2719000,"F"
"United States of America","Horses","Stocks","Head","1966",2863000,"F"
"United States of America","Horses","Stocks","Head","1967",3105000,"F"
"United States of America","Horses","Stocks","Head","1968",3475000,"F"
"United States of America","Horses","Stocks","Head","1969",3758000,"F"
"United States of America","Horses","Stocks","Head","1970",4141000,"F"
"United States of America","Horses","Stocks","Head","1971",4557000,"F"
"United States of America","Horses","Stocks","Head","1972",4556000,"F"
"United States of America","Horses","Stocks","Head","1973",4605000,"F"
"United States of America","Horses","Stocks","Head","1974",4655000,"F"
"United States of America","Horses","Stocks","Head","1975",4705000,"F"
"United States of America","Horses","Stocks","Head","1976",4735000,"F"
"United States of America","Horses","Stocks","Head","1977",4743000,"F"
"United States of America","Horses","Stocks","Head","1978",4953000,"F"
"United States of America","Horses","Stocks","Head","1979",4973000,"F"
"United States of America","Horses","Stocks","Head","1980",5013000,"F"
"United States of America","Horses","Stocks","Head","1981",5031000,"F"
"United States of America","Horses","Stocks","Head","1982",5051000,"F"
"United States of America","Horses","Stocks","Head","1983",5079000,"F"
"United States of America","Horses","Stocks","Head","1984",5108000,"F"
"United States of America","Horses","Stocks","Head","1985",5151000,"*"
